ts,player_id,ownership
2026-06-11T18:03:56+00:00,68,0.3
2026-06-11T18:03:56+00:00,69,0.0
2026-06-11T18:03:56+00:00,70,0.0
2026-06-11T18:03:56+00:00,71,0.0
2026-06-11T18:03:56+00:00,72,0.1
2026-06-11T18:03:56+00:00,73,0.0
2026-06-11T18:03:56+00:00,74,0.6
2026-06-11T18:03:56+00:00,75,0.1
2026-06-11T18:03:56+00:00,76,1.0
2026-06-11T18:03:56+00:00,77,0.0
2026-06-11T18:03:56+00:00,78,0.0
2026-06-11T18:03:56+00:00,79,0.0
2026-06-11T18:03:56+00:00,80,0.0
2026-06-11T18:03:56+00:00,81,0.1
2026-06-11T18:03:56+00:00,82,0.0
2026-06-11T18:03:56+00:00,83,0.0
2026-06-11T18:03:56+00:00,84,0.0
2026-06-11T18:03:56+00:00,85,2.2
2026-06-11T18:03:56+00:00,86,0.2
2026-06-11T18:03:56+00:00,87,0.0
2026-06-11T18:03:56+00:00,88,0.5
2026-06-11T18:03:56+00:00,90,0.3
2026-06-11T18:03:56+00:00,91,0.0
2026-06-11T18:03:56+00:00,92,0.0
2026-06-11T18:03:56+00:00,93,0.0
2026-06-11T18:03:56+00:00,94,0.0
2026-06-11T18:03:56+00:00,95,0.5
2026-06-11T18:03:56+00:00,96,0.1
2026-06-11T18:03:56+00:00,97,0.1
2026-06-11T18:03:56+00:00,98,0.5
2026-06-11T18:03:56+00:00,99,0.1
2026-06-11T18:03:56+00:00,101,0.4
2026-06-11T18:03:56+00:00,102,0.8
2026-06-11T18:03:56+00:00,103,0.3
2026-06-11T18:03:56+00:00,104,0.0
2026-06-11T18:03:56+00:00,105,0.0
2026-06-11T18:03:56+00:00,106,0.0
2026-06-11T18:03:56+00:00,107,4.0
2026-06-11T18:03:56+00:00,108,0.1
2026-06-11T18:03:56+00:00,109,0.1
2026-06-11T18:03:56+00:00,110,0.0
2026-06-11T18:03:56+00:00,111,0.0
2026-06-11T18:03:56+00:00,112,0.0
2026-06-11T18:03:56+00:00,114,3.2
2026-06-11T18:03:56+00:00,115,0.5
2026-06-11T18:03:56+00:00,116,0.3
2026-06-11T18:03:56+00:00,117,0.9
2026-06-11T18:03:56+00:00,118,0.2
2026-06-11T18:03:56+00:00,119,1.1
2026-06-11T18:03:56+00:00,120,0.1
2026-06-11T18:03:56+00:00,121,0.1
2026-06-11T18:03:56+00:00,122,0.1
2026-06-11T18:03:56+00:00,123,0.4
2026-06-11T18:03:56+00:00,124,2.1
2026-06-11T18:03:56+00:00,125,13.2
2026-06-11T18:03:56+00:00,127,0.1
2026-06-11T18:03:56+00:00,128,0.1
2026-06-11T18:03:56+00:00,129,1.1
2026-06-11T18:03:56+00:00,132,1.6
2026-06-11T18:03:56+00:00,135,0.1
2026-06-11T18:03:56+00:00,136,0.2
2026-06-11T18:03:56+00:00,137,1.2
2026-06-11T18:03:56+00:00,138,5.5
