id,name,nation,position,price,club,full_name,status,ownership
170,Léo Pereira,Brazil,DEF,4.2,BRA,Leonardo Pereira,playing,0.1
173,Vinícius Júnior,Brazil,MID,10.0,BRA,Vinícius José Paixão de Oliveira Júnior,playing,12.4
174,Matheus Cunha,Brazil,FWD,7.3,BRA,Matheus Santos Carneiro da Cunha,playing,3.2
176,Gabriel Martinelli,Brazil,MID,6.5,BRA,Gabriel Teodoro Martinelli Silva,playing,0.7
177,Luiz Henrique,Brazil,FWD,6.1,BRA,Luiz Henrique André Rosa da Silva,playing,0.2
178,Igor Thiago,Brazil,FWD,5.9,BRA,Igor Thiago Nascimento Rodrigues,playing,2.4
179,Rayan,Brazil,FWD,5.6,BRA,Rayan Vitor Simplício Rocha,playing,0.2
181,Endrick,Brazil,FWD,5.5,BRA,Endrick Felipe Moreira de Sousa,playing,2.9
182,Ederson,Brazil,GK,5.0,BRA,Ederson Santana de Moraes,playing,2.9
183,Alisson Becker,Brazil,GK,5.0,BRA,Alisson Ramsés Becker,playing,5.0
186,Fabinho,Brazil,MID,5.2,BRA,Fábio Henrique Tavares,playing,0.3
187,Danilo,Brazil,MID,5.6,BRA,Danilo dos Santos de Oliveira,playing,0.2
188,Casemiro,Brazil,MID,6.3,BRA,Carlos Henrique Casimiro,playing,2.0
190,Lucas Paquetá,Brazil,MID,6.5,BRA,Lucas Tolentino Coelho de Lima,playing,0.5
195,João Paulo,Cabo Verde,MID,4.6,CPV,João Paulo Moreira Fernandes,playing,0.1
196,Yannick Semedo,Cabo Verde,MID,4.7,CPV,Jair Semedo Monteiro,playing,0.0
198,Kevin Pina,Cabo Verde,MID,4.7,CPV,Kevin Lenini Gonçalves Pereira de Pina,playing,0.0
199,Steven Moreira,Cabo Verde,DEF,3.9,CPV,Steven Moreira,playing,0.0
200,Wagner Pina,Cabo Verde,DEF,3.8,CPV,Wagner Fabrício Cardoso de Pina,playing,0.0
201,Pico,Cabo Verde,DEF,3.7,CPV,Roberto Carlos Lopes,playing,0.0
202,Kelvin Pires,Cabo Verde,DEF,3.6,CPV,Kelvin Spencer Pires,playing,0.0
203,Sidny Cabral,Cabo Verde,DEF,3.5,CPV,Sidny Lopes Cabral,playing,0.2
205,Diney,Cabo Verde,DEF,3.5,CPV,Edilson Alberto Monteiro Sanches Borges,playing,0.1
206,Ryan Mendes,Cabo Verde,FWD,4.9,CPV,Ryan Isaac Mendes da Graça,playing,0.1
207,Jovane Cabral,Cabo Verde,FWD,4.9,CPV,Jovane Eduardo Borges Cabral,playing,0.1
208,Dailon Livramento,Cabo Verde,FWD,4.9,CPV,Dailon Rocha Livramento do Rosário,playing,0.1
209,Nuno da Costa,Cabo Verde,FWD,4.7,CPV,Nuno Miguel da Costa Jóia,playing,0.0
210,Garry Rodrigues,Cabo Verde,FWD,4.7,CPV,Garry Mendes Rodrigues,playing,0.0
211,Willy Semedo,Cabo Verde,FWD,4.5,CPV,Willy Johnson Semedo Afonso,playing,0.0
214,Vozinha,Cabo Verde,GK,3.9,CPV,Josimar José Évora Dias,playing,0.1
215,CJ dos Santos,Cabo Verde,GK,3.6,CPV,Carlos Joaquim Antunes dos Santos,playing,0.0
216,Márcio da Rosa,Cabo Verde,GK,3.5,CPV,Márcio Salomão Brazão da Rosa,playing,0.2
217,Telmo Arcanjo,Cabo Verde,MID,4.9,CPV,Telmo Emanuel Gomes Arcanjo,playing,0.0
218,Deroy Duarte,Cabo Verde,MID,4.9,CPV,Deroy d'Encarnação Duarte,playing,0.0
219,Laros Duarte,Cabo Verde,MID,5.1,CPV,Laros Michael d'Encarnação  Duarte,playing,0.0
220,Richie Laryea,Canada,DEF,3.9,CAN,Richie Laryea,playing,0.1
221,Derek Cornelius,Canada,DEF,4.0,CAN,Derek Cornelius,playing,0.4
223,Joel Waterman,Canada,DEF,3.7,CAN,Joel Waterman,playing,0.1
225,Luc De Fougerolles,Canada,DEF,3.5,CAN,Luc De Fougerolles,playing,0.7
226,Jonathan David,Canada,FWD,7.0,CAN,Jonathan David,playing,1.2
227,Cyle Larin,Canada,FWD,6.2,CAN,Cyle Larin,playing,0.1
228,Tajon Buchanan,Canada,FWD,5.5,CAN,Tajon Buchanan,playing,0.1
229,Liam Millar,Canada,FWD,5.1,CAN,Liam Millar,playing,0.1
230,Tani Oluwaseyi,Canada,FWD,4.9,CAN,Tani Oluwaseyi,playing,0.1
232,Jacen Russell-Rowe,Canada,FWD,4.5,CAN,Jacen Russell-Rowe,transferred,0.0
233,Daniel Jebbison,Canada,FWD,4.2,CAN,Daniel Jebbison,transferred,0.0
235,Maxime Crépeau,Canada,GK,4.0,CAN,Maxime Crépeau,playing,4.9
236,Dayne St. Clair,Canada,GK,3.8,CAN,Dayne St. Clair,playing,0.3
237,Owen Goodman,Canada,GK,3.5,CAN,Owen Goodman,playing,0.6
238,Ali Ahmed,Canada,MID,4.9,CAN,Ali Ahmed,playing,0.1
239,Ralph Priso,Canada,MID,4.9,CAN,Ralph Priso,transferred,0.0
240,Niko Sigur,Canada,MID,4.9,CAN,Niko Sigur,playing,0.0
241,Nathan Saliba,Canada,MID,5.1,CAN,Nathan Saliba,playing,0.1
242,Mathieu Choinière,Canada,MID,5.3,CAN,Mathieu Choinière,playing,0.0
243,Jonathan Osorio,Canada,MID,5.6,CAN,Jonathan Osorio,playing,0.0
244,Marcelo Flores,Canada,MID,5.7,CAN,Marcelo Flores,transferred,0.0
245,Ismaël Koné,Canada,MID,6.0,CAN,Ismaël Koné,playing,0.2
246,Kevin Castaño,Colombia,MID,4.3,COL,Kevin Castaño,playing,0.2
247,Richard Ríos,Colombia,MID,4.7,COL,Richard Ríos,playing,0.6
248,Daniel Muñoz,Colombia,DEF,4.6,COL,Daniel Muñoz,playing,7.8
249,Jhon Lucumí,Colombia,DEF,4.3,COL,Jhon Lucumí,playing,0.2
250,Dávinson Sánchez,Colombia,DEF,4.3,COL,Dávinson Sánchez,playing,1.3
251,Déiver Machado,Colombia,DEF,3.9,COL,Déiver Machado,playing,0.1
252,Johan Mojica,Colombia,DEF,3.9,COL,Johan Mojica,playing,4.8
253,Santiago Arias,Colombia,DEF,3.9,COL,Santiago Arias,playing,0.1
256,Luis Díaz,Colombia,MID,8.1,COL,Luis Díaz,playing,18.9
257,Jhon Córdoba,Colombia,FWD,6.1,COL,Jhon Córdoba,playing,0.1
259,Luis Suárez,Colombia,FWD,5.7,COL,Luis Suárez,playing,2.5
261,Andrés Gómez,Colombia,FWD,4.9,COL,Andrés Gómez,playing,0.2
262,Camilo Vargas,Colombia,GK,4.3,COL,Camilo Vargas,playing,4.4
263,David Ospina,Colombia,GK,4.0,COL,David Ospina,playing,1.0
264,Álvaro Montero,Colombia,GK,3.8,COL,Álvaro Montero,playing,0.1
265,Jefferson Lerma,Colombia,MID,4.9,COL,Jefferson Lerma,playing,0.2
266,Gustavo Puerta,Colombia,MID,5.3,COL,Gustavo Puerta,playing,0.1
267,Juan Fernando Quintero,Colombia,MID,5.6,COL,Juan Fernando Quintero,playing,0.1
268,Jaminton Campaz,Colombia,MID,5.5,COL,Jaminton Campaz,playing,0.0
269,Jhon Arias,Colombia,MID,6.3,COL,Jhon Arias,playing,0.4
270,James Rodríguez,Colombia,MID,6.5,COL,James Rodríguez,playing,4.9
271,Jorge Carrascal,Colombia,MID,6.1,COL,Jorge Carrascal,playing,0.1
272,Aaron Wan-Bissaka,Congo DR,DEF,4.3,COD,Aaron Wan-Bissaka,playing,0.6
273,Arthur Masuaku,Congo DR,DEF,4.2,COD,Arthur Masuaku,playing,0.0
274,Chancel Mbemba,Congo DR,DEF,4.2,COD,Chancel Mbemba,playing,0.1
275,Axel Tuanzebe,Congo DR,DEF,4.0,COD,Axel Tuanzebe,playing,0.3
276,Joris Kayembe,Congo DR,DEF,3.9,COD,Joris Kayembe,playing,0.0
277,Dylan Batubinsika,Congo DR,DEF,3.8,COD,Dylan Batubinsika,playing,0.0
278,Steve Kapuadi,Congo DR,DEF,3.7,COD,Steve Kapuadi,playing,0.0
281,Yoane Wissa,Congo DR,FWD,6.2,COD,Yoane Wissa,playing,0.2
282,Simon Banza,Congo DR,FWD,5.6,COD,Simon Banza,playing,0.0
283,Cédric Bakambu,Congo DR,FWD,6.5,COD,Cédric Bakambu,playing,0.1
284,Meschack Elia,Congo DR,FWD,4.9,COD,Meschack Elia,playing,0.0
285,Fiston Mayele,Congo DR,FWD,4.9,COD,Fiston Mayele,playing,0.1
287,Nathanaël Mbuku,Congo DR,FWD,4.5,COD,Nathanaël Mbuku,playing,0.0
288,Brian Cipenga,Congo DR,FWD,4.2,COD,Brian Cipenga,playing,0.0
289,Lionel Mpasi,Congo DR,GK,4.0,COD,Lionel Mpasi,playing,0.2
290,Matthieu Epolo,Congo DR,GK,3.7,COD,Matthieu Epolo,playing,0.1
291,Timothy Fayulu,Congo DR,GK,3.6,COD,Timothy Fayulu,playing,0.0
292,Ngal'ayel Mukau,Congo DR,MID,4.9,COD,Ngal'ayel Mukau,playing,0.0
293,Samuel Moutoussamy,Congo DR,MID,5.1,COD,Samuel Moutoussamy,playing,0.0
294,Noah Sadiki,Congo DR,MID,5.3,COD,Noah Sadiki,playing,0.1
295,Charles Pickel,Congo DR,MID,5.3,COD,Charles Pickel,playing,0.0
296,Edo Kayembe,Congo DR,MID,5.6,COD,Edo Kayembe,playing,0.0
297,Théo Bongonda,Congo DR,MID,6.2,COD,Théo Bongonda,playing,0.0
298,Christ Inao Oulaï,Côte d'Ivoire,MID,4.6,CIV,Christ Inao Oulaï,playing,0.1
299,Evan Ndicka,Côte d'Ivoire,DEF,4.4,CIV,Evan Ndicka,playing,0.3
300,Wilfried Singo,Côte d'Ivoire,DEF,4.4,CIV,Wilfried Singo,playing,0.2
301,Ousmane Diomande,Côte d'Ivoire,DEF,4.3,CIV,Ousmane Diomande,playing,0.4
302,Odilon Kossounou,Côte d'Ivoire,DEF,4.3,CIV,Odilon Kossounou,playing,0.0
303,Guéla Doué,Côte d'Ivoire,DEF,3.9,CIV,Guéla Doué,playing,1.1
304,Emmanuel Agbadou,Côte d'Ivoire,DEF,3.9,CIV,Emmanuel Agbadou,playing,0.1
305,Ghislain Konan,Côte d'Ivoire,DEF,4.0,CIV,Ghislain Konan,playing,0.3
306,Clément Akpa,Côte d'Ivoire,DEF,3.6,CIV,Clément Akpa,transferred,0.0
307,Yan Diomande,Côte d'Ivoire,FWD,5.9,CIV,Yan Diomande,playing,1.2
308,Nicolas Pépé,Côte d'Ivoire,FWD,5.9,CIV,Nicolas Pépé,playing,0.2
309,Elye Wahi,Côte d'Ivoire,FWD,5.9,CIV,Elye Wahi,playing,0.0
310,Amad Diallo,Côte d'Ivoire,FWD,5.9,CIV,Amad Diallo,playing,0.8
311,Simon Adingra,Côte d'Ivoire,FWD,5.6,CIV,Simon Adingra,playing,0.1
312,Evann Guessand,Côte d'Ivoire,FWD,5.3,CIV,Evann Guessand,playing,0.1
314,Bazoumana Touré,Côte d'Ivoire,FWD,4.5,CIV,Bazoumana Touré,playing,0.2
316,Alban Lafont,Côte d'Ivoire,GK,4.1,CIV,Alban Lafont,playing,0.2
317,Yahia Fofana,Côte d'Ivoire,GK,4.2,CIV,Yahia Fofana,playing,0.3
318,Mohamed Koné,Côte d'Ivoire,GK,3.7,CIV,Mohamed Koné,playing,0.1
319,Parfait Guiagon,Côte d'Ivoire,MID,4.9,CIV,Parfait Guiagon,playing,0.0
320,Jean Michaël Seri,Côte d'Ivoire,MID,5.5,CIV,Jean Michaël Seri,playing,0.0
321,Ibrahim Sangaré,Côte d'Ivoire,MID,5.8,CIV,Ibrahim Sangaré,playing,0.1
322,Franck Kessie,Côte d'Ivoire,MID,5.9,CIV,Franck Kessie,playing,0.2
323,Seko Fofana,Côte d'Ivoire,MID,6.8,CIV,Seko Fofana,playing,0.2
324,Petar Sucic,Croatia,MID,4.2,CRO,Petar Sucic,playing,0.8
325,Josip Stanisic,Croatia,DEF,4.3,CRO,Josip Stanisic,playing,0.5
326,Josip Sutalo,Croatia,DEF,4.3,CRO,Josip Sutalo,playing,0.0
327,Duje Caleta-Car,Croatia,DEF,4.0,CRO,Duje Caleta-Car,playing,0.3
328,Marin Pongracic,Croatia,DEF,4.0,CRO,Marin Pongracic,playing,0.3
329,Martin Erlic,Croatia,DEF,3.9,CRO,Martin Erlic,playing,0.0
330,Luka Vuskovic,Croatia,DEF,3.7,CRO,Luka Vuskovic,playing,1.1
332,Ante Budimir,Croatia,FWD,6.8,CRO,Ante Budimir,playing,0.2
333,Andrej Kramaric,Croatia,FWD,6.2,CRO,Andrej Kramaric,playing,0.2
334,Ivan Perisic,Croatia,FWD,5.4,CRO,Ivan Perisic,playing,0.5
335,Marco Pasalic,Croatia,FWD,5.3,CRO,Marco Pasalic,playing,0.1
336,Petar Musa,Croatia,FWD,5.1,CRO,Petar Musa,playing,0.1
337,Igor Matanovic,Croatia,FWD,4.9,CRO,Igor Matanovic,playing,0.1
338,Dominik Livakovic,Croatia,GK,4.5,CRO,Dominik Livakovic,playing,1.5
339,Ivor Pandur,Croatia,GK,3.9,CRO,Ivor Pandur,playing,0.1
341,Luka Sucic,Croatia,MID,4.9,CRO,Luka Sucic,playing,0.1
342,Toni Fruk,Croatia,MID,4.9,CRO,Toni Fruk,playing,0.0
